Cuadro AII. Distribución del consumo diario de cigarros,,,,,,,,,,,
Año,Grupo,<5 cigarros,,5 a 9 cigarros,,10 a 14 cigarros,,15 a 24 cigarros,,≥25,
,sociodemográfico,%,IC95%,%,IC95%,%,IC95%,%,IC95%,%,IC95%
2009,Total,36.9,"31.9, 41.9",27.2,"23.4, 31.1",15.5,"11.7, 19.2",15.9,"12.6, 19.1",4.5,"2.3, 6.7"
2015,Total,43.5,"38.4, 48.6",24.6,"20.2, 28.9",15.9,"11.7, 20.1",13.6,"10.3, 16.8",2.3,"1, 3.6"
2016,Total,41.9,"38.6, 45.1",28.9,"25.8, 32",14.1,"12, 16.2",14.3,"12.2, 16.4",0.9,"0.5, 1.3"
2023,Total,39.6,"34.3, 44.8",29.7,"24.6, 34.7",13.2,"9.6, 16.9",15.4,"11.5, 19.3",2.2,"0.7, 3.6"
2025,Total,35.9,"30.5, 41.3",29.2,"25.1, 33.4",17.9,"14.2, 21.6",14.4,"10.6, 18.2",2.6,"0.9, 4.3"
2009,Hombre,32.4,"26.8, 38",28.4,"23.4, 33.4",17.3,"12.5, 22.1",17.1,"13.3, 21",4.7,"2.1, 7.3"
2015,Hombre,43.5,"37.7, 49.3",23.1,"18.4, 27.8",15.2,"10.9, 19.5",15.4,"11.3, 19.5",2.6,"0.9, 4.2"
2016,Hombre,39.8,"35.8, 43.8",28.3,"24.5, 32.1",15.4,"12.8, 18",15.6,"13, 18.2",0.9,"0.4, 1.3"
2023,Hombre,38.9,"32.4, 45.4",29.1,"23.3, 35",14.6,"10, 19.2",14.5,"10.2, 18.8",2.8,"1, 4.7"
2025,Hombre,34.6,"27.8, 41.4",28.8,"23.7, 33.9",18.1,"13.9, 22.3",16,"11.1, 20.9",2.5,"0.6, 4.4"
2009,Mujer,49.7,"41.2, 58.1",23.8,"18.2, 29.5",10.2,"5, 15.3",12.2,"7.1, 17.3",4.1,"0.1, 8.2"
2015,Mujer,43.4,"33.3, 53.5",28.8,"19.3, 38.3",18,"7.3, 28.6",8.1,"4.2, 12.1",1.7,"0.2, 3.2"
2016,Mujer,48.1,"42.5, 53.7",30.8,"25.5, 36.1",10,"7.2, 12.7",10.1,"7, 13.1",1.1,"0.3, 1.8"
2023,Mujer,41.6,"32.5, 50.7",31.3,"22.4, 40.2",8.8,"4, 13.6",18.3,"9.5, 27.1",0,"0, 0"
2025,Mujer,39.8,"31.7, 47.8",30.6,"22.1, 39",17.2,"9.2, 25.2",9.6,"5.5, 13.7",2.9,"-0.7, 6.5"
2009,15-24 años,47.6,"39.1, 56",30,"21, 39",12.4,"5.9, 19",9.5,"3.6, 15.5",0.5,"-0.4, 1.4"
2015,15-24 años,49,"38.2, 59.8",26.8,"17.4, 36.1",12.3,"4.5, 20.2",8.2,"2.1, 14.4",3.1,"-0.8, 6.9"
2016,15-24 años,52,"44.2, 59.8",29.3,"21.6, 37.1",9.8,"5, 14.6",8.6,"4.9, 12.2",0.3,"0, 0.7"
2023,15-24 años,52.2,"36.3, 68",24.9,"9.6, 40.3",10.8,"1.4, 20.3",12.1,"1.1, 23",0,"0, 0"
2025,15-24 años,56.5,"42, 70.9",19.8,"9.9, 29.7",13,"1.3, 24.7",8.8,"3.4, 14.2",2,"-0.7, 4.8"
2009,25-44 años,35.9,"28.5, 43.2",28.5,"22.8, 34.3",14.9,"10.3, 19.6",15.3,"11.1, 19.6",5.3,"2, 8.6"
2015,25-44 años,43.7,"36.6, 50.8",26.3,"20.4, 32.3",15.8,"10.3, 21.3",12.2,"7.6, 16.8",2,"0.5, 3.5"
2016,25-44 años,44.7,"39.5, 49.9",30,"25.2, 34.8",13.2,"10.1, 16.4",11.2,"8.2, 14.3",0.8,"0.2, 1.3"
2023,25-44 años,42.8,"34.8, 50.7",29.8,"22.3, 37.3",10.8,"5.3, 16.4",15.1,"9.2, 21",1.5,"-0.4, 3.4"
2025,25-44 años,36.6,"28.5, 44.8",29,"22.6, 35.4",16.9,"11.1, 22.8",14.7,"8.2, 21.2",2.7,"-0.6, 6"
2009,45-65 años,29.6,"22.5, 36.7",23.1,"16.5, 29.6",18.8,"12.7, 24.8",21.8,"16, 27.6",6.8,"1.7, 11.9"
2015,45-65 años,39.3,"30.4, 48.2",20.6,"13, 28.1",18.6,"9.9, 27.3",19.2,"12.7, 25.7",2.3,"0, 4.6"
2016,45-65 años,33.4,"29.2, 37.6",27.3,"22.9, 31.7",17.2,"13.6, 20.7",20.7,"17.2, 24.3",1.4,"0.6, 2.2"
2023,45-65 años,29.5,"21.8, 37.3",31.8,"24.2, 39.4",17.2,"10.9, 23.5",17.4,"11.4, 23.4",4,"1, 7.1"
2025,45-65 años,28.7,"21.7, 35.7",32.4,"26, 38.9",20.3,"14.8, 25.8",15.9,"9.9, 21.9",2.7,"0.6, 4.8"
2009,Primaria o menos,33.6,"25.8, 41.4",21.9,"16.4, 27.5",19,"12.4, 25.5",18.3,"12.7, 23.9",7.2,"2.6, 11.8"
2015,Primaria o menos,38.2,"30.5, 45.9",28.3,"20.3, 36.3",12.2,"8, 16.3",17,"10.7, 23.4",4.3,"0.7, 7.9"
2016,Primaria o menos,34.3,"28.7, 39.9",27.9,"21.1, 34.6",14,"10.8, 17.1",23.4,"17.9, 29",0.5,"0.1, 0.8"
2023,Primaria o menos,36.1,"23.5, 48.8",31.5,"20.3, 42.7",14.1,"5.4, 22.8",15.7,"7.3, 24",2.6,"0, 5.3"
2025,Primaria o menos,40.2,"26.7, 53.6",23.5,"11.8, 35.2",13.8,"5.5, 22.1",17.6,"6.9, 28.3",4.9,"-2, 11.8"
2009,Secundaria,37.1,"30, 44.1",33,"26.2, 39.8",14.4,"9.4, 19.5",14.2,"8.2, 20.3",1.2,"0.1, 2.4"
2015,Secundaria,45.4,"37.1, 53.7",28.4,"20.9, 35.9",12.6,"6.1, 19.1",12.1,"7.4, 16.7",1.5,"0.3, 2.7"
2016,Secundaria,46.3,"41.2, 51.5",27.7,"23.3, 32",12.6,"9.7, 15.5",12.4,"9.5, 15.4",1,"0.3, 1.7"
2023,Secundaria,40.2,"31.1, 49.2",26.9,"18.3, 35.5",14.5,"7.4, 21.7",16,"8.6, 23.4",2.4,"0, 4.8"
2025,Secundaria,34.6,"25.7, 43.4",29,"21.8, 36.2",21.5,"14.5, 28.5",13.2,"7.3, 19.2",1.7,"0.3, 3.1"
2009,Preparatoria,40.9,"29.6, 52.2",25.7,"17.7, 33.7",12.9,"6.8, 19",12.5,"6.3, 18.8",7.9,"0.1, 15.8"
2015,Preparatoria,46.5,"36.6, 56.5",17.4,"10.4, 24.4",20.4,"11.5, 29.2",13,"5.6, 20.3",2.1,"0, 4.2"
2016,Preparatoria,45.3,"38.1, 52.5",30.9,"23.6, 38.2",13,"7.7, 18.2",10.1,"6.7, 13.4",0.7,"0, 1.4"
2023,Preparatoria,40.1,"29.7, 50.4",31.4,"20.7, 42.2",9.9,"4.1, 15.7",17,"9.2, 24.8",1.6,"-1.5, 4.8"
2025,Preparatoria,41.3,"31.5, 51",29.3,"21.3, 37.3",17.9,"10.7, 25",10.9,"4.7, 17.1",0.7,"-0.2, 1.6"
2009,Superior o más,41.3,"23.9, 58.7",28.6,"5.3, 51.9",10.8,"1, 20.7",19.3,"8.5, 30.1",0,"0, 0"
2015,Superior o más,46,"27, 65",16.5,"6.2, 26.8",27.4,"8.1, 46.7",10.1,"2.9, 17.2",0,"0, 0"
2016,Superior o más,40.7,"31.1, 50.3",27.4,"20, 34.8",19.1,"12.2, 26",11.2,"6.7, 15.7",1.6,"0.2, 3"
2023,Superior o más,42.2,"30.2, 54.3",30.5,"19, 42.1",14.2,"6, 22.4",11.3,"4.2, 18.5",1.7,"-1.7, 5.1"
2025,Superior o más,26.1,"18.6, 33.6",35.3,"26.3, 44.3",17.1,"7.2, 27",17,"6.7, 27.2",4.5,"-0.3, 9.3"
IC95%: Intervalo de confianza al 95%.,,,,,,,,,,,
,,,,,,,,,,,
